Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005/08/19,1393311
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012/05/01,1534701
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013/02/15,78239
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",2009/07/01,1050915
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008/09/24,1038357
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015/07/20,1633917
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015/06/11,1604778
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014/12/05,884887
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017/06/19,1095073
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017/03/02,910606
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013/05/01,872589
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",1998/08/28,1281761
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000/12/05,315213
RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017/03/20,720005
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007/02/02,1037038
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",2017/07/26,943819
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018/10/01,84839
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009/12/23,882835
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009/12/21,745732
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008/12/05,1060391
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017/09/01,1034054
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",1997/06/02,316709
SEE,Sealed Air,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964/06/30,89800
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",2018/03/19,719739
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008/11/06,91419
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965/03/31,87347
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",2015/03/20,1040971
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982/09/30,91440
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",2017/03/16,883241
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002/06/26,1063761
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",,64040
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",2019/12/23,1757898
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012/07/02,1137789
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005/07/01,16918
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982/09/30,93556
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015/03/12,4127
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015/11/18,1601712
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000/12/12,310764
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986/12/31,96021
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983/11/30,732717
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",1976/06/30,24545
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016/06/03,1260221
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011/10/17,1385157
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",1997/12/04,92230
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019/01/18,96943
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976/12/31,27419
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000/06/21,98246
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985/09/30,109198
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019/07/15,1283699
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",2002/08/21,86312
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014/01/24,916365
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",2018/03/19,946581
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018/06/07,1418091
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978/12/31,217346
UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014/05/01,1336917
UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016/03/25,1336917
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",2015/09/03,100517
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016/03/07,74208
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014/09/20,352915
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016/04/18,1403568
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994/07/01,731766
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994/03/01,5513
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",,100885
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002/07/22,1090727
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014/09/20,1067701
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009/12/21,1403161
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007/02/12,203527
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1979/06/30,103379
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1999/06/30,1396009
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,899689
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015/10/08,1442145
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006/02/01,1014473
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013/09/23,875320
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009/03/04,740260
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",1983/11/30,732712
WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",2019/02/27,943452
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979/12/31,1618921
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009/07/01,106040
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008/10/31,783325
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009/01/30,766704
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",1976/06/30,72971
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",2016/01/05,1140536
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975/03/31,107263
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982/08/31,104169
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019/12/05,11544
WRK,WestRock,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",,1365135
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008/11/14,1174922
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014/06/21,1168054
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",1999/11/08,743988
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",2008/11/14,818479
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",2011/11/01,1524472
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997/10/06,1041061
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001/08/07,1136869
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019/12/23,877212
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001/06/22,109380
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013/06/21,1555280
